Sample_ID,State,Water_Source,pH,Temperature_C,Turbidity_NTU,Dissolved_Oxygen_mgL,BOD_mgL,COD_mgL,Total_Dissolved_Solids_mgL,Electrical_Conductivity_uScm,Total_Hardness_mgL,Calcium_mgL,Magnesium_mgL,Chloride_mgL,Sulfate_mgL,Nitrate_mgL,Fluoride_mgL,Total_Coliform_MPN100mL,Lead_mgL,Sampling_Date,WQI_Score,WQI_Class
WQ1010,Delhi,Tap,6.71,30.5,1.23,7.89,9.13,7.72,554.2,696.4,342.1,22.64,40.3,39.39,37.38,3.16,0.71,175.0,0.0071,2025-06-02,81.79,Good
WQ1011,Gujarat,Tap,6.89,15.7,10.36,5.35,2.28,10.96,384.4,363.8,202.0,64.52,36.1,10.14,38.76,8.3,0.29,59.0,0.0014,2024-12-27,89.84,Good
WQ1012,Bihar,Lake,7.43,29.2,1.44,7.3,3.0,5.22,164.8,682.8,206.7,47.71,17.05,6.71,98.56,1.12,0.09,143.0,0.0205,2025-11-14,91.15,Excellent
WQ1013,Bihar,Lake,7.47,29.6,1.53,7.73,2.35,4.45,528.8,684.8,468.6,44.32,26.04,13.62,5.14,10.09,1.19,8.0,0.0044,2024-09-12,90.56,Excellent
WQ1014,Karnataka,Lake,7.73,18.5,0.0,7.01,0.42,0.77,615.9,748.2,225.3,15.8,18.61,23.0,13.75,31.54,0.57,16.0,0.0098,2024-09-03,86.1,Good
WQ1015,Rajasthan,Well,8.81,21.9,10.23,2.83,1.41,20.62,323.7,898.7,323.5,60.49,15.17,53.64,26.09,13.06,0.26,181.0,0.0017,2024-07-10,80.04,Good
WQ1016,UP,Well,7.06,18.5,7.87,7.32,0.31,6.09,508.2,388.3,250.6,58.68,36.46,96.72,100.44,15.73,0.02,69.0,0.0023,2025-09-17,91.47,Excellent
WQ1017,Karnataka,Groundwater,6.56,22.9,4.94,11.43,2.93,1.08,377.3,1206.3,65.2,76.34,10.63,343.81,139.75,3.57,0.46,167.0,0.0482,2025-06-18,89.18,Good
WQ1018,Karnataka,Groundwater,6.1,22.5,6.94,6.28,1.78,5.25,413.2,773.5,45.5,61.72,14.27,46.6,246.16,3.14,1.54,267.0,0.014,2024-11-09,87.14,Good
WQ1019,Delhi,Lake,6.62,27.9,0.82,5.54,4.52,32.38,20.0,918.0,192.1,56.68,11.75,58.42,159.95,5.82,0.54,287.0,0.0327,2024-10-02,86.46,Good
WQ1020,Maharashtra,Reservoir,7.17,30.6,3.07,7.75,0.75,38.14,405.6,511.6,355.6,89.43,7.12,59.02,1.0,0.37,2.14,28.0,0.0035,2025-01-07,96.71,Excellent
WQ1021,Rajasthan,River,8.64,31.0,2.16,7.62,0.54,13.2,643.9,1085.9,328.8,27.19,26.76,62.02,2.44,23.26,0.09,100.0,0.0018,2025-03-19,82.36,Good
WQ1022,Haryana,Well,6.79,21.2,0.49,9.39,1.56,10.76,323.7,622.9,341.4,73.41,38.94,58.34,7.99,1.24,0.5,199.0,0.007,2025-10-09,94.1,Excellent
WQ1023,Karnataka,Reservoir,7.38,23.0,3.33,4.48,7.83,76.2,460.5,783.3,151.3,18.22,22.78,2.0,21.45,18.67,0.96,223.0,0.0068,2024-07-13,77.52,Good
WQ1024,MadhyaPradesh,Pond,7.19,15.6,12.68,8.46,3.72,4.48,298.8,420.1,411.6,39.04,6.93,2.0,88.57,0.7,0.45,230.0,0.0019,2024-09-14,87.16,Good
WQ1025,Odisha,Well,8.15,20.0,0.2,8.18,1.63,4.85,522.1,400.9,153.5,29.68,35.08,8.22,111.59,13.84,0.06,39.0,0.0132,2025-08-04,87.2,Good
WQ1026,Maharashtra,Well,9.22,28.8,1.72,6.72,2.18,6.9,406.7,906.5,271.3,79.55,45.23,8.57,10.34,1.32,0.52,32.0,0.0045,2024-12-25,84.4,Good
WQ1027,Haryana,Groundwater,6.78,32.1,1.16,7.68,0.26,3.79,262.2,566.9,249.0,58.36,17.25,97.63,48.34,0.31,0.57,134.0,0.0021,2025-07-01,96.73,Excellent
WQ1028,MadhyaPradesh,River,6.81,17.8,1.36,9.06,12.52,9.54,716.5,443.9,232.6,59.66,19.26,18.34,124.66,10.17,0.78,203.0,0.004,2024-04-17,74.78,Good
WQ1029,Rajasthan,River,8.04,21.0,11.95,8.74,3.29,48.35,635.8,507.0,383.9,32.33,31.19,180.09,31.16,2.63,0.86,58.0,0.0083,2024-01-24,84.91,Good
WQ1030,Punjab,Tap,7.75,23.9,3.16,4.71,1.01,19.11,329.0,909.7,179.5,52.51,44.46,211.16,5.47,10.03,0.88,17.0,0.013,2025-10-13,90.61,Excellent
WQ1031,MadhyaPradesh,Tap,8.68,25.4,3.14,8.64,2.64,10.62,549.6,511.3,115.0,40.91,18.76,298.02,30.61,6.48,0.65,189.0,0.0066,2025-04-09,82.86,Good
WQ1032,WestBengal,Tap,7.67,20.0,7.15,6.87,0.35,54.49,557.5,664.7,252.0,69.59,9.01,223.86,23.56,0.92,0.15,53.0,0.0075,2024-01-22,93.17,Excellent
WQ1033,Maharashtra,Tap,6.91,26.1,0.84,7.15,10.13,0.99,578.5,704.5,210.0,35.22,32.58,25.38,43.1,21.52,0.31,27.0,0.0015,2025-05-16,77.38,Good
WQ1034,Kerala,Pond,7.67,21.6,3.34,7.15,0.58,4.72,111.1,124.8,587.7,93.24,34.59,57.03,28.87,4.82,0.9,24.0,0.0246,2025-12-16,93.09,Excellent
WQ1035,MadhyaPradesh,Pond,8.09,23.9,2.81,6.7,3.13,16.69,651.3,258.7,317.7,18.11,25.07,15.43,1.0,10.61,1.84,57.0,0.0264,2025-05-15,85.26,Good
WQ1036,TamilNadu,Well,7.86,26.7,4.54,9.38,0.84,19.12,336.1,800.9,209.1,39.84,18.3,131.28,255.78,5.56,0.05,135.0,0.0115,2025-08-15,90.06,Excellent
WQ1037,Punjab,Lake,7.61,24.0,38.62,6.83,3.79,0.81,378.4,478.9,144.4,101.93,36.93,175.45,39.21,7.42,0.46,67.0,0.0002,2025-02-10,76.78,Good
WQ1038,Bihar,Groundwater,8.05,21.8,7.34,4.76,4.5,10.32,977.6,1017.0,62.0,49.12,31.34,152.46,32.09,2.89,0.22,3.0,0.0077,2024-11-25,84.9,Good
WQ1039,Bihar,Groundwater,8.14,23.5,2.54,6.21,3.36,20.95,510.4,990.0,147.5,27.13,15.78,45.44,154.63,1.79,0.15,15.0,0.0099,2025-12-03,87.81,Good
WQ1040,Assam,Tap,8.31,23.6,8.79,7.36,2.86,23.95,372.7,915.8,261.5,65.48,25.59,113.73,8.47,6.26,0.42,51.0,0.0523,2024-10-12,84.13,Good
WQ1041,WestBengal,Well,7.72,22.1,0.94,9.46,6.69,20.33,20.0,1245.9,392.7,48.12,8.78,8.21,10.49,4.64,0.56,162.0,0.0554,2024-05-26,83.07,Good
WQ1042,MadhyaPradesh,Reservoir,7.07,22.7,0.15,8.21,0.25,7.73,728.0,675.1,362.2,39.1,33.23,3.29,82.52,3.96,0.01,16.0,0.0195,2025-01-18,97.88,Excellent
WQ1043,MadhyaPradesh,Lake,7.32,32.0,1.14,5.3,1.21,1.96,181.0,894.7,272.9,32.6,21.85,111.95,15.11,8.93,0.91,123.0,0.0007,2024-01-11,92.33,Excellent
WQ1044,Assam,Well,8.17,26.8,2.08,11.97,0.86,11.14,249.3,524.7,217.7,129.21,19.77,44.32,80.28,9.38,1.03,19.0,0.0306,2024-10-02,89.23,Good
WQ1045,Odisha,Lake,6.55,22.5,3.57,7.53,13.27,2.76,383.7,1435.7,276.9,53.71,24.61,433.17,15.84,0.38,2.02,36.0,0.0095,2025-07-21,76.3,Good
WQ1046,Odisha,Lake,7.49,27.5,4.77,9.55,1.48,58.99,733.3,1295.1,198.1,11.86,25.48,8.19,1.69,3.31,0.12,28.0,0.0161,2025-11-15,92.63,Excellent
WQ1047,Assam,Lake,6.89,22.3,12.07,6.7,3.96,12.89,604.6,703.6,421.8,97.34,35.74,154.83,36.39,4.25,0.54,10.0,0.0052,2024-10-29,88.51,Good
WQ1048,Odisha,Well,7.22,29.9,3.57,8.07,3.46,7.63,418.4,816.0,231.1,75.28,32.09,52.31,10.95,0.82,0.33,167.0,0.0039,2024-07-22,90.72,Excellent
WQ1049,Delhi,Tap,8.22,25.8,3.48,8.68,0.72,29.07,511.7,1107.8,241.4,40.84,23.12,140.43,70.91,2.15,0.24,93.0,0.0062,2024-12-10,90.2,Excellent
WQ1050,MadhyaPradesh,Groundwater,7.35,23.5,0.26,9.44,0.82,13.78,329.9,655.9,28.4,36.67,34.16,135.92,51.25,0.42,0.5,267.0,0.0016,2024-09-22,94.15,Excellent
WQ1051,Gujarat,Groundwater,7.24,26.2,0.18,9.11,0.99,7.42,477.9,503.0,230.5,76.84,29.81,198.15,128.59,44.67,0.92,16.0,0.0044,2024-01-22,83.7,Good
WQ1052,UP,Tap,6.11,16.1,4.01,8.74,1.59,33.42,464.7,962.2,333.6,53.83,19.88,28.29,76.39,10.67,0.01,23.0,0.0195,2025-06-19,88.53,Good
WQ1053,TamilNadu,Lake,7.8,18.4,2.88,6.37,0.8,40.37,643.8,723.5,143.2,11.85,23.5,239.34,9.97,0.73,2.09,55.0,0.0004,2025-12-06,93.17,Excellent
WQ1054,Delhi,Reservoir,7.72,18.0,9.14,5.86,0.06,22.36,643.4,754.9,174.9,104.68,23.22,13.16,80.51,0.16,1.0,218.0,0.0016,2024-04-05,91.34,Excellent
WQ1055,Rajasthan,River,8.93,24.7,0.88,7.67,6.35,0.96,548.8,449.7,329.3,49.15,31.06,6.84,51.32,10.16,0.83,55.0,0.0013,2025-03-20,76.96,Good
WQ1056,Delhi,Well,6.95,32.7,0.13,8.87,10.11,16.71,377.5,184.7,102.3,97.39,20.6,45.2,55.27,4.63,0.86,79.0,0.0052,2024-09-19,82.37,Good
WQ1057,Gujarat,River,7.38,35.2,2.98,6.55,1.25,28.82,598.4,770.8,355.8,91.96,20.32,140.97,89.27,12.36,0.3,54.0,0.058,2025-08-06,91.08,Excellent
WQ1058,Rajasthan,Tap,7.4,27.2,1.36,9.13,1.24,2.94,431.6,971.5,196.8,34.97,48.63,51.31,42.65,20.56,0.84,13.0,0.0019,2025-01-17,89.43,Good
WQ1059,TamilNadu,Reservoir,8.46,26.5,0.25,9.91,0.02,5.19,233.6,632.3,211.1,85.83,36.28,141.42,31.37,7.32,0.29,421.0,0.0016,2025-07-03,86.19,Good
WQ1060,Gujarat,Well,7.12,15.0,6.45,5.17,3.42,42.83,369.3,1130.9,137.6,43.71,15.87,104.65,50.62,1.66,1.37,119.0,0.0247,2025-01-26,90.65,Excellent
WQ1061,Haryana,Tap,7.42,21.3,0.59,5.33,5.24,0.41,466.9,488.8,287.8,13.33,31.85,18.8,17.69,12.19,0.12,233.0,0.0214,2025-08-23,83.88,Good
WQ1062,UP,Lake,7.69,20.1,4.69,6.72,0.48,27.95,632.0,383.6,496.0,49.39,26.42,237.89,10.08,24.95,0.21,161.0,0.0003,2025-06-23,85.33,Good
WQ1063,TamilNadu,Groundwater,7.35,20.9,1.65,7.62,0.52,12.84,413.3,679.8,328.1,69.94,29.7,5.02,47.93,6.94,0.48,108.0,0.0139,2024-04-01,93.81,Excellent
WQ1064,MadhyaPradesh,River,6.84,23.2,0.95,5.95,4.68,11.84,208.2,675.2,163.6,48.43,26.65,182.84,13.32,9.17,0.23,14.0,0.0107,2025-07-19,89.0,Good
WQ1065,Odisha,Pond,7.36,21.6,2.39,9.7,2.87,0.14,461.3,931.0,363.6,52.32,39.28,29.04,4.16,3.29,0.33,154.0,0.0146,2024-06-07,90.65,Excellent
WQ1066,Haryana,Pond,8.06,14.1,8.08,7.85,0.14,34.23,472.7,467.5,218.3,88.59,29.15,55.48,1.0,3.84,0.41,25.0,0.0068,2024-08-15,90.66,Excellent
WQ1067,WestBengal,Reservoir,6.38,27.7,2.49,7.08,2.92,8.92,487.2,1110.4,387.4,62.66,24.25,43.9,46.87,10.61,1.16,80.0,0.0475,2025-04-17,87.79,Good
WQ1068,TamilNadu,Lake,7.31,18.6,6.95,4.13,1.11,15.56,634.0,1290.1,330.7,38.92,37.51,15.08,22.48,21.02,0.44,149.0,0.0004,2025-01-06,86.9,Good
WQ1069,WestBengal,River,6.64,25.2,0.67,4.37,1.38,22.62,653.8,688.3,10.0,77.55,27.8,35.47,69.78,7.93,0.27,229.0,0.0027,2025-01-10,91.26,Excellent
WQ1070,Rajasthan,Lake,8.16,34.4,7.41,7.56,4.41,24.26,331.2,1074.9,149.6,64.94,26.46,17.15,23.51,12.48,0.17,173.0,0.0051,2025-07-06,79.89,Good
WQ1071,Haryana,River,5.98,19.4,1.35,2.73,5.0,62.46,326.8,383.1,344.4,2.0,28.77,18.24,33.28,1.51,0.32,167.0,0.006,2024-02-06,84.87,Good
WQ1072,UP,Reservoir,6.75,11.3,5.66,9.03,1.53,15.16,242.0,1022.6,265.2,70.71,23.88,16.57,26.14,1.91,0.44,24.0,0.0254,2025-09-28,93.94,Excellent
WQ1073,MadhyaPradesh,Reservoir,7.5,22.6,4.17,6.68,8.82,10.21,589.8,1014.2,147.6,69.8,25.11,53.71,52.57,6.07,0.82,64.0,0.0082,2025-11-21,80.56,Good
WQ1074,Assam,Pond,8.45,29.5,13.24,13.49,1.56,61.45,739.8,959.0,186.6,60.5,17.96,127.93,22.01,1.55,0.08,7.0,0.0005,2024-02-06,85.9,Good
WQ1075,MadhyaPradesh,Lake,7.15,33.8,2.45,11.62,4.43,20.55,387.0,695.3,59.4,82.29,15.99,67.33,165.89,8.06,0.15,191.0,0.0052,2024-04-10,87.54,Good
WQ1076,Gujarat,Well,6.76,17.9,0.34,6.64,1.98,7.08,401.7,50.0,241.2,43.19,13.02,178.95,137.56,2.76,0.29,457.0,0.0054,2025-06-26,90.33,Excellent
WQ1077,MadhyaPradesh,Pond,8.7,26.5,0.1,6.79,6.83,2.7,743.4,507.5,471.1,68.41,8.3,80.97,94.2,12.54,0.27,46.0,0.0337,2024-07-08,77.0,Good
WQ1078,Kerala,Lake,6.04,21.7,8.77,8.99,7.15,36.97,551.1,512.2,330.5,20.83,14.44,93.52,126.47,13.21,0.3,14.0,0.0091,2025-05-26,77.74,Good
WQ1079,Karnataka,Pond,5.44,23.5,3.72,10.41,0.27,8.99,537.2,406.5,469.0,70.18,22.91,88.12,29.81,4.99,0.95,97.0,0.0101,2025-10-19,88.21,Good
WQ1080,Assam,Well,7.55,37.2,7.46,3.72,8.27,21.6,211.8,736.7,338.2,108.83,26.24,47.75,38.44,1.6,0.24,291.0,0.0125,2024-03-30,79.22,Good
WQ1081,Delhi,Groundwater,6.8,16.5,1.34,3.43,5.24,12.73,585.7,574.3,352.7,35.13,21.74,93.52,67.76,8.33,0.42,120.0,0.0147,2024-01-06,87.04,Good
WQ1082,Odisha,Groundwater,6.38,25.3,2.12,5.76,4.7,4.44,264.2,452.6,447.4,41.0,1.0,5.78,59.56,39.45,0.59,7.0,0.0101,2024-05-18,77.31,Good
WQ1083,Punjab,Groundwater,7.77,26.3,0.15,8.17,0.67,18.41,223.2,382.4,287.7,42.25,43.9,157.2,110.67,7.8,0.16,549.0,0.0027,2024-04-04,87.27,Good
WQ1084,UP,Groundwater,7.4,29.4,16.28,7.99,4.91,1.25,380.6,485.3,231.3,63.25,38.04,120.34,63.0,0.29,0.76,265.0,0.0207,2025-09-22,83.01,Good
WQ1085,Haryana,Tap,6.75,24.5,5.51,9.14,5.69,10.67,332.8,1036.4,353.3,33.42,30.35,22.51,307.93,0.14,0.48,21.0,0.0132,2025-09-23,88.31,Good
WQ1086,Karnataka,River,6.18,25.5,13.53,4.6,1.02,15.82,405.7,501.7,395.4,70.53,47.89,116.89,21.42,3.09,0.36,382.0,0.0135,2025-01-20,85.56,Good
WQ1087,UP,Tap,7.9,22.0,1.54,2.37,9.13,11.46,161.8,545.5,202.0,81.17,13.27,2.0,89.49,1.74,1.0,90.0,0.0567,2024-05-02,79.92,Good
WQ1088,Haryana,Tap,7.72,25.3,4.73,8.72,0.15,27.62,641.8,563.0,177.8,73.36,47.65,19.6,59.81,13.42,0.17,70.0,0.0162,2024-10-11,90.03,Excellent
WQ1089,Odisha,Tap,7.12,22.3,5.67,5.34,0.49,35.2,675.5,801.7,263.9,15.79,13.42,5.39,58.78,14.9,1.29,93.0,0.0177,2024-12-31,91.56,Excellent
WQ1090,Maharashtra,Groundwater,8.68,27.1,1.91,2.96,2.31,29.5,60.5,836.9,333.1,84.88,27.86,121.21,19.71,2.39,0.49,270.0,0.0302,2025-11-21,84.14,Good
WQ1091,Maharashtra,Well,6.34,22.2,9.42,7.29,2.57,0.79,645.7,50.0,329.8,83.43,9.71,112.81,77.0,3.15,0.56,162.0,0.0016,2025-05-04,87.45,Good
WQ1092,WestBengal,Reservoir,5.98,25.9,14.7,8.59,3.11,4.32,287.9,1006.5,107.6,80.75,25.18,134.4,115.32,2.16,1.25,9.0,0.0069,2024-11-20,85.09,Good
WQ1093,UP,Reservoir,6.65,23.9,10.81,6.76,0.05,15.38,621.4,1130.9,441.2,69.32,29.63,2.0,12.33,19.12,1.02,474.0,0.0087,2025-02-10,84.46,Good
WQ1094,Maharashtra,River,7.16,29.6,6.72,6.08,9.68,54.61,436.3,384.9,185.9,65.5,23.14,55.65,49.11,5.59,0.55,24.0,0.004,2025-06-02,80.75,Good
WQ1095,Kerala,Groundwater,7.39,23.7,1.62,6.68,0.14,36.03,455.8,408.3,223.5,85.81,33.57,97.62,24.89,8.54,0.84,205.0,0.0183,2025-09-30,92.74,Excellent
WQ1096,Assam,Groundwater,7.01,15.1,1.65,6.26,0.46,36.97,413.0,564.9,159.7,108.09,26.19,13.51,228.05,4.3,0.34,152.0,0.0144,2024-03-17,95.95,Excellent
WQ1097,Haryana,Groundwater,7.48,30.3,16.53,4.3,0.04,7.23,692.4,473.2,519.8,36.17,18.73,83.94,32.58,7.98,0.48,31.0,0.0128,2024-08-21,89.88,Good
WQ1098,WestBengal,Pond,6.2,19.5,0.05,5.57,2.51,11.22,202.1,767.2,274.2,86.95,18.2,7.03,12.96,3.9,0.04,28.0,0.0586,2025-08-08,90.77,Excellent
WQ1099,MadhyaPradesh,Lake,8.36,20.7,6.29,8.04,8.08,12.72,571.6,116.0,164.9,57.84,34.73,16.01,24.05,3.32,0.06,306.0,0.003,2025-04-28,75.14,Good
WQ1100,Haryana,Pond,7.13,21.0,6.13,7.64,3.29,3.42,670.3,364.6,336.4,56.76,17.16,51.67,53.04,8.05,1.06,82.0,0.0133,2025-04-08,89.34,Good
WQ1101,WestBengal,Lake,8.09,30.9,4.87,7.34,5.19,0.63,593.3,1161.8,326.9,21.59,35.98,84.8,3.96,7.15,0.04,159.0,0.008,2024-09-27,81.57,Good
WQ1102,Odisha,Groundwater,7.47,13.3,23.08,5.01,0.04,58.71,914.9,421.5,231.2,52.88,39.67,12.61,46.27,2.78,0.11,105.0,0.0038,2025-04-11,88.78,Good
WQ1103,UP,Groundwater,7.57,39.7,1.87,6.64,2.34,5.51,344.2,1073.0,334.1,35.07,4.98,16.39,133.85,1.29,0.95,195.0,0.0018,2025-04-13,90.74,Excellent
WQ1104,Odisha,Pond,7.66,29.3,2.08,2.65,1.85,5.49,641.5,806.6,167.5,48.4,38.6,18.3,94.98,3.68,0.0,98.0,0.0226,2025-09-23,91.22,Excellent
WQ1105,Assam,Pond,7.56,25.1,0.41,7.36,2.07,1.74,428.8,157.2,200.7,32.55,49.73,21.82,3.5,4.29,0.2,51.0,0.009,2025-06-30,92.17,Excellent
WQ1106,Assam,Lake,7.71,23.7,2.92,9.86,0.22,52.76,696.7,890.6,49.0,48.78,28.02,20.55,250.96,7.93,0.53,68.0,0.0174,2025-12-19,92.18,Excellent
WQ1107,Karnataka,Reservoir,8.26,25.4,1.51,4.05,3.46,17.34,448.5,664.7,117.6,49.85,32.19,40.22,59.99,19.68,0.54,294.0,0.0079,2024-09-26,79.21,Good
WQ1108,Odisha,Lake,7.36,26.6,2.1,5.83,2.1,21.99,372.4,563.4,430.8,62.42,37.44,84.86,8.85,0.29,0.9,95.0,0.0025,2025-08-27,93.38,Excellent
WQ1109,Gujarat,Pond,7.77,27.2,9.0,7.66,4.35,48.51,711.2,773.5,414.1,19.63,21.69,46.1,1.0,2.23,0.42,36.0,0.0041,2025-01-12,85.9,Good
WQ1110,MadhyaPradesh,Well,7.13,26.8,13.7,9.51,1.99,8.48,351.7,842.4,256.6,23.86,27.19,119.68,9.39,1.72,0.43,409.0,0.0048,2024-06-25,87.65,Good
WQ1111,TamilNadu,Pond,8.35,24.4,1.03,6.1,0.49,19.43,167.5,912.3,416.3,69.05,9.23,101.63,91.06,5.58,0.78,239.0,0.0361,2024-09-30,88.14,Good
WQ1112,Odisha,Well,6.66,23.0,2.33,5.62,3.13,0.79,346.6,1053.5,234.0,40.06,26.66,10.82,1.09,4.49,0.41,9.0,0.0001,2025-11-21,91.47,Excellent
WQ1113,Karnataka,River,8.64,23.2,13.2,3.06,0.57,4.13,573.8,822.4,225.7,86.86,30.98,4.01,13.27,10.45,0.56,1028.0,0.0425,2025-10-02,73.57,Good
WQ1114,Rajasthan,Pond,7.17,23.0,0.32,7.21,6.18,35.59,728.4,287.3,255.7,65.63,31.19,168.26,70.8,2.22,1.37,178.0,0.0394,2025-09-28,87.34,Good
WQ1115,Kerala,River,6.06,29.7,0.48,11.08,2.85,29.11,472.2,557.9,237.5,75.17,37.79,6.66,44.11,7.22,0.31,26.0,0.0556,2024-01-27,88.45,Good
WQ1116,Haryana,Reservoir,7.3,27.0,0.89,7.55,0.51,8.64,713.6,1582.9,228.5,95.27,15.7,12.85,76.33,17.22,0.29,41.0,0.0065,2025-07-29,91.89,Excellent
WQ1117,Assam,Lake,6.66,9.3,4.52,6.96,9.84,9.46,178.4,917.3,364.3,52.26,18.61,2.0,68.55,19.32,0.0,177.0,0.0332,2024-02-29,74.62,Good
WQ1118,Rajasthan,Well,7.87,27.3,0.82,7.64,2.19,15.25,361.3,1410.8,265.0,45.64,47.75,79.18,2.6,25.51,0.57,227.0,0.005,2024-08-04,82.2,Good
WQ1119,Karnataka,Lake,6.68,25.0,17.22,6.98,0.23,0.0,392.3,1118.6,321.2,81.79,23.2,69.85,111.52,11.87,0.02,41.0,0.0003,2025-11-11,88.92,Good
WQ1120,WestBengal,River,6.84,23.9,2.96,5.37,2.96,5.52,427.1,772.5,353.1,72.74,27.4,346.83,12.88,18.91,0.42,45.0,0.0025,2025-10-22,87.75,Good
WQ1121,TamilNadu,Well,5.69,22.1,3.48,8.65,0.88,4.67,466.8,790.4,288.8,55.32,24.2,174.38,40.3,2.14,0.98,55.0,0.0291,2024-09-26,89.89,Good
WQ1122,MadhyaPradesh,Lake,6.84,29.6,1.42,7.45,4.88,5.77,588.2,689.0,153.0,94.79,15.14,42.33,51.68,1.76,0.48,137.0,0.0001,2024-04-25,89.56,Good
WQ1123,MadhyaPradesh,Pond,5.26,28.7,3.18,7.04,5.11,32.79,361.0,178.7,114.7,54.69,44.48,37.16,9.23,0.05,0.19,28.0,0.0079,2024-09-01,82.39,Good
WQ1124,MadhyaPradesh,Groundwater,5.93,20.1,5.42,5.05,11.58,6.56,477.8,705.4,264.9,60.82,18.67,28.18,186.97,9.82,0.93,17.0,0.0008,2025-10-21,72.54,Good
WQ1125,Kerala,River,7.81,26.0,6.96,9.61,2.09,4.25,441.0,1063.2,232.9,60.53,11.47,13.23,33.49,22.18,0.19,170.0,0.0034,2025-08-26,82.37,Good
WQ1126,TamilNadu,Lake,7.83,19.1,7.01,8.33,1.82,14.03,264.8,520.1,258.7,36.64,19.59,11.89,2.97,1.66,0.79,227.0,0.0009,2024-03-25,88.25,Good
WQ1127,Kerala,River,7.54,17.1,4.31,5.89,4.2,40.15,427.3,823.6,248.4,61.94,1.0,11.35,138.44,8.11,0.57,104.0,0.0196,2025-08-21,86.23,Good
WQ1128,Assam,Tap,6.43,20.9,11.74,9.0,0.43,5.52,421.3,955.5,508.4,94.92,17.18,9.69,44.13,10.98,0.11,68.0,0.0089,2025-09-23,89.01,Good
WQ1129,Kerala,River,7.16,28.3,8.5,6.0,2.38,1.64,417.0,427.1,117.0,71.12,13.38,22.01,60.06,21.01,1.41,85.0,0.0232,2025-03-25,85.93,Good
WQ1130,Punjab,Well,7.2,28.8,7.07,5.44,2.37,8.81,456.4,564.6,51.0,60.78,32.41,29.3,37.24,8.33,0.13,74.0,0.0117,2025-06-19,90.09,Excellent
WQ1131,TamilNadu,Tap,6.27,26.6,0.29,5.48,0.28,27.54,465.1,394.6,283.2,55.96,16.92,260.73,90.01,28.13,2.74,483.0,0.0354,2024-03-29,82.57,Good
WQ1132,Gujarat,Well,8.4,27.6,0.03,3.46,1.62,16.0,363.5,453.4,212.4,68.27,35.65,69.11,1.68,3.38,0.0,219.0,0.0071,2025-07-02,87.36,Good
WQ1133,TamilNadu,Groundwater,7.9,26.6,1.19,7.94,5.76,33.94,704.5,313.7,281.6,78.74,41.78,351.18,15.62,3.45,0.18,35.0,0.0102,2025-05-21,85.12,Good
WQ1134,Karnataka,Tap,7.02,20.8,5.45,3.34,5.82,64.17,216.1,429.9,308.4,75.23,34.37,37.28,31.71,6.26,0.13,73.0,0.0086,2025-02-11,86.93,Good
WQ1135,Punjab,Pond,7.22,26.2,2.65,4.54,0.31,31.47,305.8,1125.8,378.4,51.7,22.42,48.94,3.98,3.87,0.01,118.0,0.0066,2024-09-27,95.3,Excellent
